classes,AP@50,ACC@50,TP@50,FP@50,total_P@50,Pr@50,Re@50,AP@60,ACC@60,TP@60,FP@60,total_P@60,Pr@60,Re@60,AP@90,ACC@90,TP@90,FP@90,total_P@90,Pr@90,Re@90
sausage,0.9412393881770819,0.3448275862068966,150.0,280.0,155.0,0.3488372093023256,0.967741935483871,0.9303771603524806,0.33867276887871856,148.0,282.0,155.0,0.34418604651162793,0.9548387096774194,0.18157428089387098,0.11005692599620494,58.0,372.0,155.0,0.13488372093023257,0.3741935483870968
semolina porridge,0.8611111111111112,0.05555555555555555,4.0,68.0,4.0,0.05555555555555555,1.0,0.8611111111111112,0.05555555555555555,4.0,68.0,4.0,0.05555555555555555,1.0,0.1388888888888889,0.02702702702702703,2.0,70.0,4.0,0.027777777777777776,0.5
steamed omelet,0.8813186324589185,0.22777777777777777,41.0,138.0,42.0,0.22905027932960895,0.9761904761904762,0.8813186324589185,0.22777777777777777,41.0,138.0,42.0,0.22905027932960895,0.9761904761904762,0.22194573863201578,0.09405940594059406,19.0,160.0,42.0,0.10614525139664804,0.4523809523809524
syrnik,0.9123722543941859,0.3080168776371308,219.0,483.0,228.0,0.31196581196581197,0.9605263157894737,0.9014761069161019,0.30434782608695654,217.0,485.0,228.0,0.3091168091168091,0.9517543859649122,0.11280766772102423,0.06896551724137931,60.0,642.0,228.0,0.08547008547008547,0.2631578947368421
tea bag,0.8915318431872267,0.19672131147540983,36.0,146.0,37.0,0.1978021978021978,0.972972972972973,0.8915318431872267,0.19672131147540983,36.0,146.0,37.0,0.1978021978021978,0.972972972972973,0.039005830406086156,0.0330188679245283,7.0,175.0,37.0,0.038461538461538464,0.1891891891891892
toast,0.5486151372419964,0.15126050420168066,18.0,98.0,21.0,0.15517241379310345,0.8571428571428571,0.510387661569754,0.14166666666666666,17.0,99.0,21.0,0.14655172413793102,0.8095238095238095,0.17948717948717946,0.04580152671755725,6.0,110.0,21.0,0.05172413793103448,0.2857142857142857
topping,0.6174330314671217,0.13526570048309178,140.0,867.0,168.0,0.13902681231380337,0.8333333333333334,0.5642411934538716,0.12547892720306514,131.0,876.0,168.0,0.1300893743793446,0.7797619047619048,0.025892204533592592,0.01468048359240069,17.0,990.0,168.0,0.016881827209533268,0.10119047619047619
topping for fried egg,0.3590315110541271,0.11673151750972763,30.0,220.0,37.0,0.12,0.8108108108108109,0.21539099464023045,0.09125475285171103,24.0,226.0,37.0,0.096,0.6486486486486487,0.0,0.0,0.0,250.0,37.0,0.0,0.0
varenik,0.484375,0.25,5.0,12.0,8.0,0.29411764705882354,0.625,0.484375,0.25,5.0,12.0,8.0,0.29411764705882354,0.625,0.0,0.0,0.0,17.0,8.0,0.0,0.0
vienna sausage,0.7533418819831191,0.18834080717488788,42.0,173.0,50.0,0.19534883720930232,0.84,0.7377877102350507,0.18303571428571427,41.0,174.0,50.0,0.19069767441860466,0.82,0.14736363636363636,0.055776892430278883,14.0,201.0,50.0,0.06511627906976744,0.28
water bottle,0.85973223240304,0.14375,23.0,137.0,23.0,0.14375,1.0,0.7992090599233457,0.13664596273291926,22.0,138.0,23.0,0.1375,0.9565217391304348,0.12754636667680144,0.03389830508474576,6.0,154.0,23.0,0.0375,0.2608695652173913
,,,,,,,,,,,,,,,,,,,,,
IOU_t,0.5,0.6,0.9,,,,,,,,,,,,,,,,,,
mAP,0.7832220442131151,0.7672453661131445,0.14475627543780573,,,,,,,,,,,,,,,,,,
Mean ACC,0.22381491261159311,0.2179952446502315,0.058049788020437004,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
mAP over iou=[.5-.95],0.5589909122455534,,,,,,,,,,,,,,,,,,,,
mAR,0.6804859731398035,,,,,,,,,,,,,,,,,,,,
